Date,PBW,PBD,SPY,URTH
2017-01-03,,,,
2017-01-04,102.69541790061673,101.33714790905317,100.59491933280533,100.85411772664324
2017-01-05,101.38308189005332,101.99690899070863,100.51547369192104,101.19018440502903
2017-01-06,101.38308189005332,101.90327389149436,100.8732532145447,101.3911510812154
2017-01-09,101.1171284906405,101.15350891366842,100.54316211915359,100.89642886961931
2017-01-10,101.9171264561353,101.53122337331601,100.54316211915359,101.04423942196823
2017-01-11,102.18168278110026,101.34307231453568,100.8257724568178,101.11133059676602
2017-01-12,101.12626982654993,101.34307231453568,100.5747784854839,101.3124589451116
2017-01-13,102.19294056222701,101.531578048851,100.80433054272274,101.5934693492857
2017-01-17,102.19294056222701,101.62565357824118,100.45198390497552,101.31324640075185
2017-01-18,101.92908229100748,101.5316664677228,100.67297838011365,101.05899451680808
2017-01-19,101.39997973286943,101.06129779230821,100.30252795546508,100.96508561693626
2017-01-20,101.93189667716693,101.53388939056363,100.6699317081099,101.19336299864531
2017-01-23,101.40279411902885,101.72203147780769,100.40971666780574,101.2201640069847
2017-01-24,102.46662800762387,102.56710336336248,101.05088944966086,101.8094953630385
2017-01-25,104.04557136057413,103.40509362878052,101.91644356559841,102.56848298807904
2017-01-26,103.2683712338392,103.03574956474716,101.81189789956761,102.50241265165367
2017-01-27,102.74617601993977,102.66503629325095,101.65491860881755,102.42306170506701
2017-01-30,100.64644040550415,101.54875828805017,101.03475083077898,101.77457324609168
2017-01-31,101.45072792077701,102.01912696346473,101.02595967622277,101.82785806784464
2017-02-01,101.7166914656617,102.39365843078727,101.0655132904158,102.00093389311637
2017-02-02,100.92093753730778,102.20708700107204,101.1314166198646,102.02752117784377
2017-02-03,102.52521146683135,103.0482099374478,101.82070495282333,102.46599339720781
2017-02-06,102.52521146683135,102.2141028669559,101.64192948031253,102.24109833545201
2017-02-07,101.47257587241319,102.3075629516297,101.64630189369008,102.2013227056122
2017-02-08,101.47257587241319,102.77441813890114,101.77734192538337,102.37375572653065
2017-02-09,101.47257587241319,103.05322606021204,102.37060687816759,102.7445269409612
2017-02-10,103.33428010471852,103.51661985920768,102.76522456213758,102.9951797171649
2017-02-13,104.11756794554505,104.25462652507433,103.30948174131858,103.48208951711693
2017-02-14,104.89477795491578,104.4377721656387,103.70901461012099,103.83567338420481
2017-02-15,106.18012494819897,104.89481231785697,104.23105193859101,104.03142117391549
2017-02-16,105.67250881826536,105.0768001083957,104.14591787175931,104.27888463370584
2017-02-17,106.69291112284849,105.2584486431241,104.30355041916187,104.1749456577595
2017-02-21,109.470694787505,106.61838133429367,104.89907093346788,104.57811585031314
2017-02-22,107.50509473329319,105.90281852997943,104.81026941586072,104.66878903372161
2017-02-23,107.50509473329319,105.90281852997943,104.87798723494654,104.57819799209445
2017-02-24,108.2569724916586,105.36227422768494,105.00487060859743,104.57819799209445
2017-02-27,108.2569724916586,105.72459272398243,105.16115814285538,104.64296878708727
2017-02-28,106.76442951297413,105.63433795005916,104.89124148476378,104.42290643246552
2017-03-01,106.51190810394822,105.99567456212546,106.29099517085795,105.4867357985072
2017-03-02,107.271399843342,105.27560321938718,105.66125352663273,104.84488728733112
2017-03-03,106.2663804492482,105.18494795692486,105.72420475582436,105.1808073533579
2017-03-06,105.50495141336158,104.73122573679885,105.42641452827179,104.85889132424242
2017-03-07,105.2492008301812,104.54890616271658,105.12772844278366,104.53593564904156
2017-03-08,105.2492008301812,104.45757986996746,104.94207340421562,104.22488655394939
2017-03-09,104.73637836110565,104.09194949165601,105.06889241624384,104.34189639459899
2017-03-10,104.73637836110565,104.36718515858674,105.41931115681462,104.91324401154019
2017-03-13,105.25184425510604,104.82463470721,105.46979502906628,105.3264134207502
2017-03-14,104.99543791120578,104.36926823047912,105.08713506041414,104.52919708546729
2017-03-15,106.02370962198073,105.74163432693058,105.95248039792968,105.63094492384676
2017-03-16,107.29597427772278,106.10264481545455,105.75578601554601,106.01556422097215
2017-03-17,106.79345978834252,106.19257493222392,105.14776984051271,105.78567878270877
2017-03-20,106.5409383793166,106.46211430924753,105.03808140100087,105.67046633503756
2017-03-21,103.50296176428002,105.11803168755236,103.75413136929683,104.5939619764171
2017-03-22,104.28624960510655,105.11803168755236,103.9894469307616,105.15102933174225
2017-03-23,104.54532290244205,105.48133741890102,103.88273701045148,104.85470963476348
2017-03-24,104.54532290244205,105.48133741890102,103.81009753267851,104.9968476515862
2017-03-27,105.3205147141896,105.57183722622429,103.70746968159767,104.9194314469491
2017-03-28,106.34615965234065,106.2047458353421,104.43515234685006,105.72004495113462
2017-03-29,107.10757900625487,105.93520645831849,104.52863609454133,105.63037073000532
2017-03-30,107.35946432665628,105.93520645831849,104.84705335758716,105.83552993822698
2017-03-31,107.86197881603653,106.65592646693764,104.61429369420911,105.4772461585342
2017-04-03,107.11198072338514,106.02980261552656,104.44037172400652,105.43871218186405
2017-04-04,106.35631515337187,105.48975340043663,104.50410940951937,105.2845560631168
2017-04-05,107.37153773126671,105.48975340043663,104.206845539576,105.11728267046294
2017-04-06,108.37656671002718,105.67074438454651,104.48796133544487,105.16883688803647
2017-04-07,107.87905238379905,105.39974407923287,104.38602220416927,105.2074899986291
2017-04-10,110.62904856910178,105.94322614285625,104.44554575496218,105.23323895835541
2017-04-11,111.84559362643269,105.8531339938638,104.32656947228438,105.41346474246768
2017-04-12,109.44174738441399,106.3039923351344,103.88838399198373,105.11790658539294
2017-04-13,108.21022024453318,105.9449262613438,103.23889278128881,104.3317318080407
2017-04-17,109.20773032208852,106.48546197197805,104.12488171339997,105.07218344478757
2017-04-18,109.20773032208852,105.85822455458285,103.826458136142,104.6982299900936
2017-04-19,109.45464013473322,105.76805116644718,103.64259843427395,104.60762722942994
2017-04-20,109.45464013473322,106.49007214349513,104.4565094506437,105.2165159531476
2017-04-21,109.20833846507962,106.22125732824989,104.1378215898165,105.11350046604724
2017-04-24,111.43056445490409,107.65881209704555,105.23761351246037,106.78918413668477
2017-04-25,112.39674246562616,108.27882711086963,105.81947668801661,107.41038787682922
2017-04-26,113.11444400279404,108.19080531941081,105.75659295154442,107.25919379540127
2017-04-27,113.58950521464277,108.54322787895832,105.84049069154106,107.18348709686025
2017-04-28,111.93465704545851,108.36763124014526,105.62255093497821,107.17085654259569
2017-05-01,112.41542812785138,108.80738666000562,105.8745632166113,107.47396068864839
2017-05-02,111.69772659068352,109.07008134276195,105.9122754670897,107.52432698989438
2017-05-03,111.45676641207847,108.89541318186669,105.79081609625895,107.43623273412955
2017-05-04,109.04130756390693,108.63293998987626,105.90822585150602,107.76373259334275
2017-05-05,112.25912733608641,110.12416877919674,106.30192767050121,108.30359486194054
2017-05-08,112.49893182599415,109.7784474057474,106.28524294516038,108.12877045329006
2017-05-09,112.49893182599415,110.29883267032918,106.19344572520653,108.07873178140402
2017-05-10,112.49893182599415,110.55767419385143,106.3730283644468,108.1287955045122
2017-05-11,111.7812302888263,110.04132766602619,106.16875511462428,107.91612876302136
2017-05-12,111.05834056096955,110.04132766602619,106.00165295608382,107.99135151657968
2017-05-15,111.5437792969789,110.73336850341491,106.55400350751812,108.6427314879429
2017-05-16,111.30222788361519,110.64745588668916,106.46245077430581,108.89164820410333
2017-05-17,107.42813949698554,109.0137453777641,104.6880445454048,107.3025651995143
2017-05-18,108.6875853166107,109.18857456043267,105.09089286986273,107.47918564226948
2017-05-19,109.68260447977052,110.32295600902069,105.74131026156944,108.33549170501016
2017-05-22,110.66782994999775,110.92692230671386,106.24905510075506,109.02222297846087
2017-05-23,110.66782994999775,111.09845282151151,106.470330472266,108.8362091800801
2017-05-24,111.6434434277512,111.44091823938741,106.70361418460696,109.28347047950375
2017-05-25,112.12652782599008,111.61156246834378,107.18156351903497,109.3205747217586
2017-05-26,111.88614686976648,111.27084728407748,107.16088690003076,109.3205747217586
2017-05-30,111.64518669116146,111.27084728407748,107.0740031517233,109.46894607519229
2017-05-31,111.64518669116146,111.18537524095902,107.04915944216069,109.25907179254375
2017-06-01,112.61136470188353,111.86972836544176,107.84438730396096,110.03848196097941
2017-06-02,113.08983543535219,112.29453070287553,108.17722653660489,110.5295223861875
2017-06-05,112.1374508499262,112.29453070287553,108.10351040557688,110.2119043379443
2017-06-06,112.85861205848835,112.37913501032078,107.78382568008156,110.00357324465485
2017-06-07,112.14261434767081,112.63272531602378,107.96884970698008,110.05269631401188
2017-06-08,114.78685071585882,113.30726094858608,108.01809665575462,110.10179526445742
2017-06-09,114.31846486254275,112.30223674610423,107.86632246630504,109.93003795126972
2017-06-12,113.61258430475326,111.5408141157187,107.84577973962759,109.74569295825545
2017-06-13,115.0343816110889,112.73433797578924,108.33476824982718,110.29973991895345
2017-06-14,114.33344880172385,111.89188280511087,108.2080058066764,110.04260867225224
2017-06-15,112.92168768614481,110.78737890209555,108.0155716394096,109.50246326794162
2017-06-16,112.68301874777593,110.959195942469,107.55201793591557,110.0702326248002
2017-06-19,113.40072028494382,111.38801405043802,108.38452876576319,110.69614632856116
2017-06-20,112.45060692228532,110.87562788971009,107.71011973667144,108.81786732422927
2017-06-21,113.17002953996347,111.21897521299589,107.6854303988047,108.64384694516262
2017-06-22,114.59859733548987,112.33103782298149,107.64015334108363,108.64384694516262
2017-06-23,116.4765388388066,112.92325990678735,107.75957705599686,108.96759510122598
2017-06-26,116.24611882658901,113.34377492459073,107.82538070018197,109.06688991487583
2017-06-27,116.01517546427252,112.9250208306401,107.01976127103718,108.64531029819592
2017-06-28,117.17258285123937,113.42964206032808,107.91480276845593,109.3799684792707
2017-06-29,116.71491520948256,112.50914282657946,107.03591684239335,108.6383140135051
2017-06-30,116.48503365977889,113.18481784917284,107.22236678515789,108.6756723922807
2017-07-03,116.25461364756131,113.26871238623517,107.39192991871234,108.72546812813972
2017-07-05,114.8689358538131,112.59813466905484,107.62313323115656,108.80011980979134
2017-07-06,113.22958983406548,112.26058225922053,106.70868697270872,108.15359905746836
2017-07-07,114.65815762959188,112.26058225922053,107.3571997720447,108.59158986973387
2017-07-10,114.42341941902166,112.34525012418446,107.4645867061575,108.76602219707272
2017-07-11,114.89400944946742,112.51445873907495,107.39032310942218,108.8157745786252
2017-07-12,116.76754392901454,113.69688600127257,108.14179593946602,109.4622149407388
2017-07-13,116.76754392901454,113.36299649057597,108.3098233446295,109.82041765665626
2017-07-14,117.91696921637084,114.8705367879099,108.77623337580071,110.33733847997358
