Date,TAN,SPY,URTH
2017-01-03,,,
2017-01-04,102.29953607340774,100.59491933280533,100.85411772664324
2017-01-05,102.93353434766952,100.51547369192104,101.19018440502903
2017-01-06,102.58989477671592,100.8732532145447,101.3911510812154
2017-01-09,102.93471930118594,100.54316211915359,100.89642886961931
2017-01-10,103.56473428468837,100.54316211915359,101.04423942196823
2017-01-11,104.30463792938522,100.8257724568178,101.11133059676602
2017-01-12,103.23118863069682,100.5747784854839,101.3124589451116
2017-01-13,104.14495131099764,100.80433054272274,101.5934693492857
2017-01-17,104.88065680168978,100.45198390497552,101.31324640075185
2017-01-18,104.4874000723385,100.67297838011365,101.05899451680808
2017-01-19,103.97978498541482,100.30252795546508,100.96508561693626
2017-01-20,104.26323819482096,100.6699317081099,101.19336299864531
2017-01-23,103.81100573981318,100.40971666780574,101.2201640069847
2017-01-24,103.29993163720931,101.05088944966086,101.8094953630385
2017-01-25,104.84103010016071,101.91644356559841,102.56848298807904
2017-01-26,104.2227017994828,101.81189789956761,102.50241265165367
2017-01-27,103.48740165315205,101.65491860881755,102.42306170506701
2017-01-30,101.37914553936582,101.03475083077898,101.77457324609168
2017-01-31,102.01942847532376,101.02595967622277,101.82785806784464
2017-02-01,102.48212320910028,101.0655132904158,102.00093389311637
2017-02-02,102.1942640151258,101.1314166198646,102.02752117784377
2017-02-03,103.06031263621843,101.82070495282333,102.46599339720781
2017-02-06,102.71686977244843,101.64192948031253,102.24109833545201
2017-02-07,102.02761685494997,101.64630189369008,102.2013227056122
2017-02-08,102.43247336806533,101.77734192538337,102.37375572653065
2017-02-09,102.7780923993608,102.37060687816759,102.7445269409612
2017-02-10,104.90209261527879,102.76522456213758,102.9951797171649
2017-02-13,106.53221624234166,103.30948174131858,103.48208951711693
2017-02-14,107.0853156997073,103.70901461012099,103.83567338420481
2017-02-15,109.28553358648254,104.23105193859101,104.03142117391549
2017-02-16,108.53203848302017,104.14591787175931,104.27888463370584
2017-02-17,109.02010871068455,104.30355041916187,104.1749456577595
2017-02-21,111.34066123034555,104.89907093346788,104.57811585031314
2017-02-22,110.07483959159497,104.81026941586072,104.66878903372161
2017-02-23,111.30347985880312,104.87798723494654,104.57819799209445
2017-02-24,111.35624144788314,105.00487060859743,104.57819799209445
2017-02-27,112.09464494871308,105.16115814285538,104.64296878708727
2017-02-28,110.3145394733344,104.89124148476378,104.42290643246552
2017-03-01,109.72818228245222,106.29099517085795,105.4867357985072
2017-03-02,108.65580233777862,105.66125352663273,104.84488728733112
2017-03-03,107.57178740732294,105.72420475582436,105.1808073533579
2017-03-06,107.35260430854296,105.42641452827179,104.85889132424242
2017-03-07,106.41906132396224,105.12772844278366,104.53593564904156
2017-03-08,106.08645949333055,104.94207340421562,104.22488655394939
2017-03-09,105.80837696644785,105.06889241624384,104.34189639459899
2017-03-10,105.4737452602506,105.41931115681462,104.91324401154019
2017-03-13,106.31313872127915,105.46979502906628,105.3264134207502
2017-03-14,105.14776143777962,105.08713506041414,104.52919708546729
2017-03-15,106.7199158175759,105.95248039792968,105.63094492384676
2017-03-16,108.10189479983829,105.75578601554601,106.01556422097215
2017-03-17,106.02991516541273,105.14776984051271,105.78567878270877
2017-03-20,105.47313075996394,105.03808140100087,105.67046633503756
2017-03-21,103.51344224087804,103.75413136929683,104.5939619764171
2017-03-22,102.94233784246245,103.9894469307616,105.15102933174225
2017-03-23,102.4253926765998,103.88273701045148,104.85470963476348
2017-03-24,102.25218955982469,103.81009753267851,104.9968476515862
2017-03-27,102.25218955982469,103.70746968159767,104.9194314469491
2017-03-28,102.65704607294006,104.43515234685006,105.72004495113462
