Date,const,CL=F,HG=F,QQQ
2017-01-08,1.0,1.0317217616917223,1.0229746720855564,1.0199933024204788
2017-01-15,1.0,1.0007643244683844,1.0804111601038933,1.0302827732880822
2017-01-22,1.0,1.0017197847265735,1.054816670427293,1.0310356287105462
2017-01-29,1.0,1.0160519072902483,1.0802096430659494,1.0523674258682172
2017-02-05,1.0,1.028664245127349,1.0517936265648082,1.051363554815323
2017-02-12,1.0,1.0292375067028734,1.1132608397331254,1.0655847103718088
2017-02-19,1.0,1.02044715569242,1.0904876846855127,1.0859126364765852
2017-02-26,1.0,1.0317217616917218,1.08020964306595,1.0896770412347896
2017-03-05,1.0,1.0191094967515657,1.0830310737927145,1.0960348274135103
2017-03-12,1.0,0.9266195295581068,1.0425231701349638,1.0991299848031189
2017-03-19,1.0,0.9321612282143829,1.0800081260280063,1.1016396305238834
2017-03-26,1.0,0.9166825824996592,1.0574365841161142,1.092772326270282
2017-04-02,1.0,0.9669405064704782,1.0667070405459589,1.107411777387876
2017-04-09,1.0,0.9982801423764808,1.0661023933343512,1.1039819324910274
2017-04-16,1.0,1.0162430430800529,1.0356711103559966,1.090848192218362
2017-04-23,1.0,0.9482132084015765,1.0223700248739491,1.1089174882328043
2017-04-30,1.0,0.9426715097453005,1.0465537991871674,1.1376108787991477
2017-05-07,1.0,0.8832409631844177,1.0155179650949822,1.15057714767231
2017-05-14,1.0,0.9141983275108105,1.0149133178833745,1.1594445795717954
2017-05-21,1.0,0.9617810064968666,1.0374848597952668,1.1530867933930748
2017-05-28,1.0,0.9516529236486139,1.0316404813037947,1.1813618883983108
2017-06-04,1.0,0.9107586122637732,1.036477274605549,1.2001004317813493
2017-06-11,1.0,0.875788271114818,1.0665054274102395,1.1709887456538974
2017-06-18,1.0,0.8549589167397331,1.0328496796292332,1.1556800471677076
2017-06-25,1.0,0.8218994232102117,1.0572349709803948,1.181529232151931
2017-07-02,1.0,0.8798012479373801,1.0878677709966929,1.151413738794527
2017-07-09,1.0,0.8452130325741448,1.0630794455696442,1.1524175460244792
2017-07-16,1.0,0.8893559963131632,1.081821875467277,1.18889069791472
2017-07-23,1.0,0.8746416750668239,1.0943167966997733,1.205537891138102
2017-07-30,1.0,0.949933066025095,1.1569932081935288,1.2032791972248256
2017-08-06,1.0,0.9474488839331917,1.1628375866850014,1.2016897506801452
2017-08-13,1.0,0.9329256255797121,1.1745264397657231,1.1887234818069832
2017-08-20,1.0,0.9270016553438265,1.1852076115589496,1.1814454964521786
2017-08-27,1.0,0.9147715890863354,1.2224909543162719,1.1876359388772795
2017-09-03,1.0,0.9036881188768383,1.2486900912044796,1.221348493239268
2017-09-10,1.0,0.9073188970167356,1.2178557741502378,1.206374482260318
2017-09-17,1.0,0.9533727812721327,1.180169301219252,1.2218503968542442
2017-09-24,1.0,0.9680871025184721,1.1787585858558696,1.207294681436402
2017-10-01,1.0,0.9873876621628984,1.1839984132335113,1.2167474973588475
2017-10-08,1.0,0.9419071123799709,1.2150342473256965,1.2352350889343977
2017-10-15,1.0,0.9831836224474765,1.2569528663468295,1.2409235000986385
2017-10-22,1.0,0.9835658211301411,1.2702539518288776,1.244018785134131
2017-10-29,1.0,1.0300019040682027,1.2468762456674343,1.265183238538182
2017-11-05,1.0,1.063252387593639,1.2537284015441787,1.2821649916229199
2017-11-12,1.0,1.0842728777585289,1.2372027551617026,1.2855947088738848
2017-11-19,1.0,1.0806420267216867,1.2343813244349384,1.287853402787161
2017-11-26,1.0,1.1265048480842241,1.2760983303203506,1.3071774578390438
2017-12-03,1.0,1.115230242084922,1.2355905227603767,1.2923707906137136
2017-12-10,1.0,1.0961207453333555,1.191051990050423,1.29412745326613
2017-12-17,1.0,1.0949741492853613,1.2535267884084584,1.3188053596208977
2017-12-24,1.0,1.1173322983911056,1.2956469244675348,1.3164630576537535
2017-12-31,1.0,1.1545957587391038,1.321846061355743,1.3029947575197316
2018-01-07,1.0,1.174087454173335,1.2926239767028271,1.3545256560886743
2018-01-14,1.0,1.2287406994432708,1.2898025459760627,1.3760247969999648
2018-01-21,1.0,1.2109687887356135,1.2765014604940152,1.3915007115938909
2018-01-28,1.0,1.2639021034850857,1.2827488730613752,1.429897869890168
2018-02-04,1.0,1.2507165040724604,1.2803305725082748,1.377028604229917
2018-02-11,1.0,1.1312822222721157,1.219064876377901,1.305839090747735
2018-02-18,1.0,1.178673765468367,1.3071342605103136,1.379956545511789
2018-02-25,1.0,1.2144085039826515,1.293228527816658,1.4068094100800808
2018-03-04,1.0,1.170456676033438,1.2498992895299197,1.3885728979579026
2018-03-11,1.0,1.1855531959624421,1.2559451850593357,1.4485528052193382
2018-03-18,1.0,1.1912860304085229,1.2466747286294912,1.4306508529585156
2018-03-25,1.0,1.258933593507389,1.2029423601690892,1.3259996092759498
2018-04-01,1.0,1.2409707657007618,1.2168480928627445,1.3395516451097236
2018-04-08,1.0,1.1859353946451063,1.2309552464965663,1.3102727428745355
2018-04-15,1.0,1.2877889744245434,1.2363966870099283,1.349924660208253
2018-04-22,1.0,1.3067073353863048,1.2621926937244723,1.3577045491780337
2018-04-29,1.0,1.3013566996228885,1.2277307816939145,1.355947758879734
2018-05-06,1.0,1.3323141368462266,1.2355905227603765,1.3792035624434411
2018-05-13,1.0,1.3510413620181834,1.2474808928790417,1.417600848385602
2018-05-20,1.0,1.3621249051246254,1.229746144268904,1.4008700471083513
2018-05-27,1.0,1.2971525870105216,1.2361950738742074,1.419775806599126
2018-06-03,1.0,1.257595934566535,1.2460701775156595,1.4450393522686211
