Date,TAN
2017-01-03,16.959999084472656
2017-01-04,17.350000381469727
2017-01-05,17.459999084472656
2017-01-06,17.399999618530273
2017-01-09,17.459999084472656
2017-01-10,17.56999969482422
2017-01-11,17.700000762939453
2017-01-12,17.510000228881836
2017-01-13,17.670000076293945
2017-01-17,17.799999237060547
2017-01-18,17.729999542236328
2017-01-19,17.639999389648438
2017-01-20,17.690000534057617
2017-01-23,17.610000610351562
2017-01-24,17.520000457763672
2017-01-25,17.790000915527344
2017-01-26,17.68000030517578
2017-01-27,17.549999237060547
2017-01-30,17.18000030517578
2017-01-31,17.290000915527344
2017-02-01,17.3700008392334
2017-02-02,17.31999969482422
2017-02-03,17.469999313354492
2017-02-06,17.40999984741211
2017-02-07,17.290000915527344
2017-02-08,17.360000610351562
2017-02-09,17.420000076293945
2017-02-10,17.790000915527344
2017-02-13,18.079999923706055
2017-02-14,18.18000030517578
2017-02-15,18.579999923706055
2017-02-16,18.440000534057617
2017-02-17,18.530000686645508
2017-02-21,18.959999084472656
2017-02-22,18.719999313354492
2017-02-23,18.950000762939453
2017-02-24,18.959999084472656
2017-02-27,19.100000381469727
2017-02-28,18.760000228881836
2017-03-01,18.649999618530273
2017-03-02,18.450000762939453
2017-03-03,18.25
2017-03-06,18.209999084472656
2017-03-07,18.040000915527344
2017-03-08,17.979999542236328
2017-03-09,17.93000030517578
2017-03-10,17.8700008392334
2017-03-13,18.020000457763672
2017-03-14,17.809999465942383
2017-03-15,18.09000015258789
2017-03-16,18.34000015258789
2017-03-17,17.959999084472656
2017-03-20,17.860000610351562
2017-03-21,17.510000228881836
2017-03-22,17.40999984741211
2017-03-23,17.31999969482422
2017-03-24,17.290000915527344
2017-03-27,17.290000915527344
2017-03-28,17.360000610351562
2017-03-29,17.34000015258789
2017-03-30,17.299999237060547
2017-03-31,17.280000686645508
2017-04-03,17.260000228881836
2017-04-04,17.360000610351562
2017-04-05,17.209999084472656
2017-04-06,17.239999771118164
2017-04-07,17.200000762939453
2017-04-10,17.510000228881836
2017-04-11,17.5
2017-04-12,17.489999771118164
2017-04-13,17.309999465942383
2017-04-17,17.43000030517578
2017-04-18,17.389999389648438
2017-04-19,17.200000762939453
2017-04-20,17.1200008392334
2017-04-21,17.040000915527344
2017-04-24,17.260000228881836
2017-04-25,17.440000534057617
2017-04-26,17.540000915527344
2017-04-27,17.540000915527344
2017-04-28,17.5
2017-05-01,17.459999084472656
2017-05-02,17.670000076293945
2017-05-03,17.739999771118164
2017-05-04,17.530000686645508
2017-05-05,17.8700008392334
2017-05-08,17.84000015258789
2017-05-09,18.020000457763672
2017-05-10,18.200000762939453
2017-05-11,18.18000030517578
2017-05-12,18.139999389648438
2017-05-15,18.34000015258789
2017-05-16,18.200000762939453
2017-05-17,17.81999969482422
2017-05-18,17.760000228881836
2017-05-19,18.09000015258789
2017-05-22,18.18000030517578
2017-05-23,18.200000762939453
2017-05-24,18.469999313354492
2017-05-25,18.559999465942383
2017-05-26,18.399999618530273
2017-05-30,18.56999969482422
2017-05-31,18.510000228881836
2017-06-01,18.549999237060547
2017-06-02,18.549999237060547
2017-06-05,18.40999984741211
2017-06-06,18.6200008392334
2017-06-07,18.489999771118164
2017-06-08,18.81999969482422
2017-06-09,18.600000381469727
2017-06-12,18.489999771118164
2017-06-13,18.690000534057617
2017-06-14,18.489999771118164
2017-06-15,18.190000534057617
2017-06-16,18.34000015258789
2017-06-19,18.610000610351562
2017-06-20,18.639999389648438
2017-06-21,18.90999984741211
2017-06-22,19.389999389648438
2017-06-23,19.799999237060547
2017-06-26,19.889999389648438
2017-06-27,19.760000228881836
2017-06-28,19.920000076293945
2017-06-29,19.809999465942383
2017-06-30,19.889999389648438
2017-07-03,19.959999084472656
2017-07-05,19.559999465942383
2017-07-06,19.450000762939453
2017-07-07,19.760000228881836
2017-07-10,19.799999237060547
2017-07-11,19.93000030517578
2017-07-12,20.31999969482422
2017-07-13,20.18000030517578
2017-07-14,20.639999389648438
2017-07-17,20.6299991607666
2017-07-18,20.969999313354492
2017-07-19,21.479999542236328
2017-07-20,21.450000762939453
2017-07-21,21.31999969482422
2017-07-24,21.440000534057617
2017-07-25,21.31999969482422
2017-07-26,21.299999237060547
2017-07-27,21.209999084472656
2017-07-28,21.600000381469727
2017-07-31,21.639999389648438
2017-08-01,21.739999771118164
2017-08-02,21.399999618530273
2017-08-03,21.600000381469727
2017-08-04,21.829999923706055
2017-08-07,22.280000686645508
2017-08-08,21.979999542236328
2017-08-09,21.84000015258789
2017-08-10,21.239999771118164
2017-08-11,21.469999313354492
2017-08-14,21.719999313354492
2017-08-15,21.93000030517578
2017-08-16,21.739999771118164
2017-08-17,21.239999771118164
2017-08-18,21.6299991607666
2017-08-21,21.1299991607666
2017-08-22,21.260000228881836
2017-08-23,21.309999465942383
2017-08-24,21.5
2017-08-25,21.479999542236328
2017-08-28,21.440000534057617
2017-08-29,21.479999542236328
2017-08-30,21.5
2017-08-31,21.700000762939453
2017-09-01,21.920000076293945
2017-09-05,21.81999969482422
2017-09-06,21.8700008392334
2017-09-07,22.0
2017-09-08,21.84000015258789
2017-09-11,21.8799991607666
2017-09-12,21.84000015258789
2017-09-13,21.8799991607666
2017-09-14,22.450000762939453
2017-09-15,22.3700008392334
2017-09-18,22.270000457763672
2017-09-19,22.559999465942383
2017-09-20,22.329999923706055
2017-09-21,22.010000228881836
2017-09-22,22.190000534057617
2017-09-25,21.229999542236328
2017-09-26,21.15999984741211
2017-09-27,21.639999389648438
2017-09-28,21.489999771118164
